**************************************************
Checking constraint violation of RightStance:
***************************************
Constraint: timeDuration 	Node: 1 
---------------------------------------
       Lower   Constraint        Upper
5.00000000E-01 9.95220731E-01 1.00000000E+00
***************************************
Constraint: intX 	Node: 2 
---------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 6.47379052E-07 1.00000000E-04
-1.00000000E-04 6.16663376E-07 1.00000000E-04
-1.00000000E-04 1.10446637E-07 1.00000000E-04
-1.00000000E-04 -9.73818505E-07 1.00000000E-04
-1.00000000E-04 -4.40926795E-07 1.00000000E-04
-1.00000000E-04 -3.31821953E-06 1.00000000E-04
-1.00000000E-04 -1.05060435E-05 1.00000000E-04
-1.00000000E-04 -3.25186327E-14 1.00000000E-04
-1.00000000E-04 4.98324328E-14 1.00000000E-04
-1.00000000E-04 -1.73980834E-14 1.00000000E-04
-1.00000000E-04 9.90981128E-06 1.00000000E-04
-1.00000000E-04 -7.76146557E-06 1.00000000E-04
-1.00000000E-04 -9.09198766E-06 1.00000000E-04
-1.00000000E-04 -2.35992181E-06 1.00000000E-04
-1.00000000E-04 9.84347139E-06 1.00000000E-04
-1.00000000E-04 1.38625990E-05 1.00000000E-04
-1.00000000E-04 1.25061576E-07 1.00000000E-04
-1.00000000E-04 -1.38591279E-06 1.00000000E-04
-1.00000000E-04 3.30269634E-07 1.00000000E-04
-1.00000000E-04 1.57486553E-06 1.00000000E-04
-1.00000000E-04 1.05592345E-05 1.00000000E-04
-1.00000000E-04 3.12868936E-06 1.00000000E-04
***************************************
Constraint: intX 	Node: 8 
---------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 1.84098116E-07 1.00000000E-04
-1.00000000E-04 1.77073917E-08 1.00000000E-04
-1.00000000E-04 -5.07517920E-09 1.00000000E-04
-1.00000000E-04 -5.37335087E-08 1.00000000E-04
-1.00000000E-04 3.32735131E-07 1.00000000E-04
-1.00000000E-04 -1.97334126E-06 1.00000000E-04
-1.00000000E-04 -6.48610607E-14 1.00000000E-04
-1.00000000E-04 4.81804871E-14 1.00000000E-04
-1.00000000E-04 1.70152430E-14 1.00000000E-04
-1.00000000E-04 6.22235995E-07 1.00000000E-04
-1.00000000E-04 -2.80928328E-06 1.00000000E-04
-1.00000000E-04 -5.24681830E-07 1.00000000E-04
-1.00000000E-04 8.17651220E-07 1.00000000E-04
-1.00000000E-04 2.02257443E-06 1.00000000E-04
-1.00000000E-04 1.72812851E-06 1.00000000E-04
-1.00000000E-04 2.08363901E-08 1.00000000E-04
-1.00000000E-04 -1.73785336E-07 1.00000000E-04
-1.00000000E-04 3.36858046E-08 1.00000000E-04
-1.00000000E-04 -5.32180918E-07 1.00000000E-04
-1.00000000E-04 1.97948086E-06 1.00000000E-04
-1.00000000E-04 3.73181697E-07 1.00000000E-04
-1.00000000E-04 4.45639498E-07 1.00000000E-04
-1.00000000E-04 -4.52785191E-09 1.00000000E-04
-1.00000000E-04 -3.71692566E-07 1.00000000E-04
-1.00000000E-04 -2.40862540E-07 1.00000000E-04
-1.00000000E-04 -2.56775982E-06 1.00000000E-04
-1.00000000E-04 -8.15603740E-06 1.00000000E-04
-1.00000000E-04 2.36849728E-15 1.00000000E-04
-1.00000000E-04 -1.19540704E-14 1.00000000E-04
-1.00000000E-04 9.60170558E-15 1.00000000E-04
-1.00000000E-04 1.44764601E-06 1.00000000E-04
-1.00000000E-04 -5.81409086E-06 1.00000000E-04
-1.00000000E-04 -1.74674830E-06 1.00000000E-04
-1.00000000E-04 -2.15454732E-06 1.00000000E-04
-1.00000000E-04 1.04552961E-05 1.00000000E-04
-1.00000000E-04 1.09386981E-05 1.00000000E-04
-1.00000000E-04 7.78425604E-08 1.00000000E-04
-1.00000000E-04 -2.83604780E-07 1.00000000E-04
-1.00000000E-04 1.81373711E-07 1.00000000E-04
-1.00000000E-04 2.18117820E-06 1.00000000E-04
-1.00000000E-04 8.14703281E-06 1.00000000E-04
-1.00000000E-04 6.70444110E-07 1.00000000E-04
***************************************
Constraint: intX 	Node: 10 
---------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 -1.14442415E-07 1.00000000E-04
-1.00000000E-04 3.91358418E-09 1.00000000E-04
-1.00000000E-04 -1.93676475E-07 1.00000000E-04
-1.00000000E-04 -7.03451058E-08 1.00000000E-04
-1.00000000E-04 2.68140639E-07 1.00000000E-04
-1.00000000E-04 1.42243907E-06 1.00000000E-04
-1.00000000E-04 -1.65329914E-13 1.00000000E-04
-1.00000000E-04 2.44616453E-13 1.00000000E-04
-1.00000000E-04 -7.95824992E-14 1.00000000E-04
-1.00000000E-04 3.65106203E-06 1.00000000E-04
-1.00000000E-04 2.23227346E-06 1.00000000E-04
-1.00000000E-04 -3.60451609E-06 1.00000000E-04
-1.00000000E-04 3.04768214E-07 1.00000000E-04
-1.00000000E-04 -1.87811287E-06 1.00000000E-04
-1.00000000E-04 -2.68951889E-06 1.00000000E-04
-1.00000000E-04 5.20690695E-09 1.00000000E-04
-1.00000000E-04 -3.15946934E-07 1.00000000E-04
-1.00000000E-04 6.32865904E-08 1.00000000E-04
-1.00000000E-04 -6.30102774E-07 1.00000000E-04
-1.00000000E-04 -1.41318329E-06 1.00000000E-04
-1.00000000E-04 6.77774674E-07 1.00000000E-04
-1.00000000E-04 2.72183399E-07 1.00000000E-04
-1.00000000E-04 -3.95417173E-08 1.00000000E-04
-1.00000000E-04 2.04177934E-07 1.00000000E-04
-1.00000000E-04 4.29197141E-08 1.00000000E-04
-1.00000000E-04 -2.24616868E-06 1.00000000E-04
-1.00000000E-04 -5.46750277E-06 1.00000000E-04
-1.00000000E-04 1.01639225E-14 1.00000000E-04
-1.00000000E-04 -2.29173204E-14 1.00000000E-04
-1.00000000E-04 1.29498799E-14 1.00000000E-04
-1.00000000E-04 -6.61410776E-06 1.00000000E-04
-1.00000000E-04 -3.88002235E-06 1.00000000E-04
-1.00000000E-04 6.14977331E-06 1.00000000E-04
-1.00000000E-04 -2.49243233E-06 1.00000000E-04
-1.00000000E-04 8.11215455E-06 1.00000000E-04
